Spanish,Part of Speech,Synonyms,ShortDef,Definition,Sentences,Audio
dirección,f,rumbo,"<span class=""pos noun f""> <span class=""usage"">address; direction</span></span>","<span class=""pos noun f""> <span class=""usage"">address; direction; management, or running of a business or organisation</span></span>","<span class=""spa"">Tom le pidió direcciones a Mary.</span><br>
<span class=""eng"">Tom asked Mary for directions.</span><br>
<span class=""spa"">Por cierto, ¿Cuál es tu dirección?</span><br>
<span class=""eng"">By the way, what's your address?</span><br>
<span class=""spa"">Garabateé su dirección en el dorso de mi diario.</span><br>
<span class=""eng"">I scribbled down his address in the back of my diary.</span>",[sound:KW7GVTCXS4T4MIFAW6OTBKAY6BQVAU3N.mp3]
marchar,verb,"andar, ir, funcionar, partir","<span class=""pos verb vi"">{vi} <span class=""usage"">to go, travel</span></span>
<span class=""pos verb vir reflexive"">{vir} <span class=""usage"">to leave</span></span>","<span class=""pos verb vi"">{vi} <span class=""usage"">to go, travel; to march; to function, work, run</span></span>
<span class=""pos verb vir reflexive"">{vir} <span class=""usage"">to leave</span></span>","<span class=""spa"">¿Por qué se marchó Tomás?</span><br>
<span class=""eng"">Why did Tom leave?</span><br>
<span class=""spa"">Le pedí a Tom que se marchase.</span><br>
<span class=""eng"">I asked Tom to leave.</span><br>
<span class=""spa"">El experimento parecía ir marchando bien.</span><br>
<span class=""eng"">The experiment seemed to be going well.</span>",[sound:Y2C62DVB2XM3EQDYKKOZDR2DF2VO4PCU.mp3]
esconder,verb,ocultar,,"<span class=""pos verb vt"">{vt} <span class=""usage"">to hide</span></span>
<span class=""pos verb vri reflexive"">{vri} <span class=""tag"">[_]:</span><span class=""usage"">to hide</span></span>","<span class=""spa"">Lo esconderé en cualquier lugar.</span><br>
<span class=""eng"">I'll hide it somewhere.</span><br>
<span class=""spa"">Quizás Tom estaba escondiendo algo.</span><br>
<span class=""eng"">Maybe Tom was hiding something.</span><br>
<span class=""spa"">Tomás se escondió en el ático.</span><br>
<span class=""eng"">Tom hid in the attic.</span>",[sound:6RHYISIYSDGMN6OS4PFBUUAIWB4B4H6W.mp3]
alrededor,adv,,"<span class=""pos adv"">{adv} <span class=""usage"">around</span></span>
<span class=""pos noun m"">{m} <span class=""tag"">[also in the plural]:</span><span class=""usage"">surroundings</span></span>","<span class=""pos adv"">{adv} <span class=""usage"">around (from place to place)</span></span>
<span class=""pos noun m"">{m} <span class=""tag"">[also in the plural]:</span><span class=""usage"">surroundings</span></span>","<span class=""spa"">Corrí alrededor de la cancha.</span><br>
<span class=""eng"">I ran around the field.</span><br>
<span class=""spa"">Su pesimismo deprimió a la gente a su alrededor.</span><br>
<span class=""eng"">His pessimism depressed those around him.</span><br>
<span class=""spa"">Me gustaría viajar alrededor del mundo.</span><br>
<span class=""eng"">I would like to travel around the world.</span>",[sound:E4MMUNLNLIWSPFHEU3GE2FQOLAGWZCP4.mp3]
mitad,f,,,"<span class=""pos noun f""> <span class=""usage"">half</span></span>","<span class=""spa"">Una buena pregunta ya es la mitad de la respuesta.</span><br>
<span class=""eng"">A good question is already half of the answer.</span><br>
<span class=""spa"">Se les cortó la línea en mitad de su conversación telefónica.</span><br>
<span class=""eng"">They were cut off in the middle of their telephone conversation.</span><br>
<span class=""spa"">Compramos un piano de cola que ocupaba la mitad de nuestra sala de estar.</span><br>
<span class=""eng"">We bought a grand piano which took up half of our living room.</span>",[sound:JF64JDL2OQSAT2NDYJBDENXKGCRNDMIN.mp3]
agradecer,verb,,,"<span class=""pos verb v""> <span class=""usage"">to thank; to be grateful for</span></span>","<span class=""spa"">Tom no sabía cómo agradecerle a Mary.</span><br>
<span class=""eng"">Tom didn't know how to thank Mary.</span><br>
<span class=""spa"">El capitán Cook les agradeció a los nativos por su hospitalidad.</span><br>
<span class=""eng"">Captain Cook thanked the natives for their hospitality.</span><br>
<span class=""spa"">Solo quiero agradecerle por su trabajo.</span><br>
<span class=""eng"">I would just like to thank all of you for your work.</span>",[sound:S5XF7BGY3ELW5GZI5UK3KPDFTKIXODPV.mp3]
avión,m,,,"<span class=""pos noun m""> <span class=""usage"">aeroplane, airplane, plane; martin, swallow</span></span>","<span class=""spa"">Nunca he volado en avión.</span><br>
<span class=""eng"">I've never flown in an airplane.</span><br>
<span class=""spa"">Nunca diga la palabra ""bomba"" en un avión.</span><br>
<span class=""eng"">Never say the word ""bomb"" on an airplane.</span><br>
<span class=""spa"">Vista desde un avión, la isla parece una araña grande.</span><br>
<span class=""eng"">Seen from an airplane, the island looks like a big spider.</span>",[sound:TD4L7ZG35JOGEMT54GTF35JD6JCFAFPC.mp3]
conocido,adj,,"<span class=""pos adj""> <span class=""usage"">known; well-known, famous, renowned</span></span>","<span class=""pos adj"">{adj} <span class=""usage"">known; well-known, famous, renowned; familiar</span></span>
<span class=""pos noun m_f f"">{f} <span class=""usage"">female acquaintance, friend, known person</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">acquaintance, friend, known person</span></span>","<span class=""spa"">Es un hecho bien conocido.</span><br>
<span class=""eng"">It's a well-known fact.</span><br>
<span class=""spa"">El autor es un conocido mío.</span><br>
<span class=""eng"">I am acquainted with the author.</span><br>
<span class=""spa"">Su nombre es conocido por todos en esta ciudad.</span><br>
<span class=""eng"">His name is known to everyone in this town.</span>",[sound:BN43R65BH4PSQGTZ4GBVR3VQT7J5CYN2.mp3]
rico,adj,"acomodado, lujoso, sabroso","<span class=""pos adj""> <span class=""usage"">rich; luxurious</span></span>","<span class=""pos adj""> <span class=""usage"">rich; luxurious; tasty, yummy</span></span>","<span class=""spa"">El padre de Tom es rico.</span><br>
<span class=""eng"">Tom's father is rich.</span><br>
<span class=""spa"">Japón es un país rico.</span><br>
<span class=""eng"">Japan is a rich country.</span><br>
<span class=""spa"">Ella se cocinó una rica comida.</span><br>
<span class=""eng"">She cooked herself a good meal.</span>",[sound:P7GSMZDLJQWH6RAISXFASHBXCBK7D2MG.mp3]
invitar,verb,,"<span class=""pos verb v""> <span class=""usage"">to invite; to be on</span></span>","<span class=""pos verb v""> <span class=""usage"">to invite; to be on, assume or take responsibility for paying</span></span>","<span class=""spa"">¿A cuánta gente invitaste a tu fiesta?</span><br>
<span class=""eng"">How many people did you invite to your party?</span><br>
<span class=""spa"">¿A cuánta gente invitaste a tu boda?</span><br>
<span class=""eng"">How many people did you invite to your wedding?</span><br>
<span class=""spa"">Ella abrió la puerta e invitó a entrar al joven granjero.</span><br>
<span class=""eng"">She opened the door and invited the young farmer in.</span>",[sound:J2HHUFCFCUC4JXIAXERVDUCVDVFDES4P.mp3]
centro,m,,"<span class=""pos noun m""> <span class=""usage"">center; middle</span></span>","<span class=""pos noun m""> <span class=""usage"">center; middle; core, heart</span></span>
<span class=""pos noun m""> <span class=""tag"">[geometry]:</span><span class=""usage"">center</span></span>
<span class=""pos noun m""> <span class=""tag"">[politics]:</span><span class=""usage"">center, moderate tendencies or ideas</span></span>
<span class=""pos noun m""> <span class=""tag"">[urbanism]:</span><span class=""usage"">city center, downtown</span></span>","<span class=""spa"">Voy al centro de la ciudad.</span><br>
<span class=""eng"">I'm going downtown.</span><br>
<span class=""spa"">El parque se encuentra en el centro de la ciudad.</span><br>
<span class=""eng"">The park is in the center of the city.</span><br>
<span class=""spa"">¿Por qué las monedas de cinco y cincuenta yenes tienen un agujero en el centro?</span><br>
<span class=""eng"">Why do the five yen coin and the fifty yen coin have holes in the center?</span>",[sound:SZTI6QCFWKHJHUJTCOUF62637FKTLBXW.mp3]
detective,mf,,,"<span class=""pos noun mf""> <span class=""usage"">detective</span></span>","<span class=""spa"">El detective se disfrazó de viejo caballero.</span><br>
<span class=""eng"">The detective disguised himself as an old gentleman.</span><br>
<span class=""spa"">Un detective llegó a la escena del crimen.</span><br>
<span class=""eng"">A detective arrived upon the scene of the crime.</span><br>
<span class=""spa"">Uno de los detectives lo agarró por el cuello.</span><br>
<span class=""eng"">One of the detectives seized him by the neck.</span>",[sound:JFCS3JCZ54A7AUN6CTPHVQRODARH66RZ.mp3]
señal,f,"letrero, seña","<span class=""pos noun f""> <span class=""usage"">sign; landmark</span></span>","<span class=""pos noun f""> <span class=""usage"">sign; landmark; signal; reminder; representation</span></span>","<span class=""spa"">La tormenta no mostró señales de amainar.</span><br>
<span class=""eng"">The storm showed no signs of abating.</span><br>
<span class=""spa"">Los secuestradores no mostraban señales de ceder.</span><br>
<span class=""eng"">The kidnappers showed no sign of giving up.</span><br>
<span class=""spa"">No hay señales de vida en Marte.</span><br>
<span class=""eng"">There is no sign of life on Mars.</span>",[sound:OJHNIMLN6NY4XTNPMOM4RMZYZ5VJZ3PV.mp3]
programa,m,,"<span class=""pos noun m""> <span class=""usage"">programme, program; show, programme</span></span>","<span class=""pos noun m""> <span class=""usage"">programme, program; show, programme</span></span>
<span class=""pos noun m""> <span class=""tag"">[computing]:</span><span class=""usage"">program</span></span>","<span class=""spa"">Él escribe libretos para programas de televisión.</span><br>
<span class=""eng"">He writes scripts for TV shows.</span><br>
<span class=""spa"">El programa se veía muy interesante.</span><br>
<span class=""eng"">The TV program seemed very interesting.</span><br>
<span class=""spa"">Si escuchas programas en inglés en la radio puedes aprender inglés gratis.</span><br>
<span class=""eng"">If you listen to English programs on the radio, you can learn English for nothing.</span>",[sound:6M5C2YHTYGZHV7PSYQBYRVNEMLVYGDN7.mp3]
broma,f,chiste,"<span class=""pos noun f""> <span class=""usage"">joke, prank, practical joke; banter [plural]</span></span>","<span class=""pos noun f""> <span class=""usage"">joke, prank, practical joke; banter [plural]</span></span>
<span class=""pos noun f""> <span class=""tag"">[zoology]:</span><span class=""usage"">shipworm</span></span>","<span class=""spa"">Esto no es ninguna broma.</span><br>
<span class=""eng"">This is no joke.</span><br>
<span class=""spa"">Tom a menudo le hacía bromas al profesor.</span><br>
<span class=""eng"">Tom would often play jokes on the teacher.</span><br>
<span class=""spa"">¿Vas a jugarme una broma otra vez, niño travieso?</span><br>
<span class=""eng"">Are you going to play tricks on me again, you naughty boy?</span>",[sound:OLSBRP7IT25LNLBY57CJXCSOCR4DNONY.mp3]
ataque,m,,"<span class=""pos noun m""> <span class=""usage"">attack (an attempt to damage an opponent or enemy)</span></span>","<span class=""pos noun m""> <span class=""usage"">attack (an attempt to damage an opponent or enemy); attack (an attempt to detract from the worth or credibility of someone)</span></span>
<span class=""pos noun m""> <span class=""tag"">[sports]:</span><span class=""usage"">attack, offensive</span></span>
<span class=""pos noun m""> <span class=""tag"">[pathology]:</span><span class=""usage"">attack (the sudden onset of a disease or condition)</span></span>
<span class=""pos noun m""> <span class=""tag"">[phonology]:</span><span class=""usage"">onset of a syllable</span></span>","<span class=""spa"">Tuve un ataque de asma.</span><br>
<span class=""eng"">I had an asthma attack.</span><br>
<span class=""spa"">Casi me da un ataque cardíaco.</span><br>
<span class=""eng"">I almost had a heart attack.</span><br>
<span class=""spa"">El ataque enemigo cesó al amanecer.</span><br>
<span class=""eng"">The enemy attack ceased at dawn.</span>",[sound:4FTHF4FHXOYMUEN3RAVHVTYRSE7W55RB.mp3]
disfrutar,verb,gozar,,"<span class=""pos verb vti"">{vti} <span class=""usage"">to enjoy</span></span>","<span class=""spa"">Parece que disfrutas haciendo eso.</span><br>
<span class=""eng"">You apparently enjoy doing that.</span><br>
<span class=""spa"">Tom claramente pareció disfrutar de la fiesta de la noche del viernes pasado.</span><br>
<span class=""eng"">Tom certainly seemed to enjoy the party last Friday night.</span><br>
<span class=""spa"">Sé que se supone que yo disfrutara esta clase, pero no.</span><br>
<span class=""eng"">I know that I'm supposed to enjoy this class, but I don't.</span>",[sound:BMOEYFMFCNMJFWF2FOTNQTY722WSM4BQ.mp3]
soldado,mf,,,"<span class=""pos noun mf""> <span class=""usage"">soldier</span></span>","<span class=""spa"">Los soldados estaban marcando el tiempo.</span><br>
<span class=""eng"">The soldiers were marking time.</span><br>
<span class=""spa"">Los soldados resistieron el ataque del enemigo.</span><br>
<span class=""eng"">The soldiers resisted the enemy attack.</span><br>
<span class=""spa"">Juzgando por su apariencia, él podría ser un soldado.</span><br>
<span class=""eng"">Judging from his appearance, he may be a soldier.</span>",[sound:A53QKVR4QUCFK6Z4Z66WZDYMUIWBN3WQ.mp3]
don,m/f,,"<span class=""pos noun m_f f"">{f} <span class=""usage"">title of respect for a woman comparable to Mrs.</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">A title of respect to a man</span></span>","<span class=""pos noun m_f f"">{f} <span class=""usage"">title of respect for a woman comparable to Mrs.</span></span>
<span class=""pos noun m_f m"">{m} <span class=""usage"">A title of respect to a man, prefixed to first names; gift, present; gift, talent, knack</span></span>","<span class=""spa"">Tenés un don para la música.</span><br>
<span class=""eng"">You have a gift for music.</span><br>
<span class=""spa"">Tiene un don natural para hablar.</span><br>
<span class=""eng"">He has a natural gift for speaking.</span><br>
<span class=""spa"">Tom fue el primero en reconocer el don para la música de María.</span><br>
<span class=""eng"">Tom was the first one to recognize Mary's musical talent.</span>",[sound:AR76BS7264SF5MDR4I4DVM7GVUEMI226.mp3]
